Time,Potential
15.077620,26306.704881
15.082469,26306.704881
15.095797,26306.704881
15.111471,26306.704881
15.127916,26306.704881
15.151254,26306.704881
15.189012,26308.964785
15.225727,26306.845739
15.240770,26311.110689
15.272747,26317.351859
15.344317,26330.980189
15.428924,26341.995925
15.463168,26335.145649
15.528297,26330.231357
15.645439,26338.125887
15.795475,26339.537727
16.054046,26334.462547
16.173944,26335.405801
16.343927,26335.490470
16.379096,26337.298045
16.486214,26334.647530
16.677782,26332.254275
16.758081,26327.646552
16.824219,26313.873589
16.853778,26314.324288
16.879369,26315.898903
16.895630,26312.054550
16.906669,26315.199852
16.919555,26313.459975
16.929465,26304.022863
16.936455,26304.022863
16.941772,26297.429634
16.946422,26297.428877
16.950261,26301.441332
16.955047,26303.711482
16.958266,26301.716674
16.961638,26302.941078
16.964997,26301.606106
16.968790,26297.593988
16.971981,26295.071842
16.975232,26294.291317
16.978700,26290.181800
16.981820,26289.932428
16.985171,26289.555260
16.988255,26288.489147
16.991345,26289.511440
16.994439,26290.692664
16.997349,26291.607692
17.000725,26290.401696
17.003675,26290.401696
17.006760,26289.821890
17.009732,26289.695562
17.012724,26289.508472
17.015776,26289.219183
17.018750,26289.219183
17.021644,26289.024885
17.024574,26289.270636
17.027406,26289.270636
17.030407,26289.270636
17.033257,26289.270636
17.037911,26289.270636
17.052901,26289.270636
17.070120,26289.270636
17.084172,26289.270636
17.104431,26291.976231
17.129951,26291.976231
17.163574,26301.026899
17.204869,26300.716738
17.261729,26313.699498
17.304830,26319.316498
17.333319,26316.069016
17.392303,26327.378255
17.459758,26330.485194
17.536454,26339.299545
17.649454,26343.963396
17.840602,26349.856914
17.972308,26347.012286
18.184707,26362.264388
18.731109,26369.165996
19.061678,26330.389334
19.278429,26337.404405
19.397102,26334.427536
19.510634,26337.369524
19.565612,26332.673125
19.685062,26329.855726
19.709935,26326.546796
19.730482,26327.186772
19.747039,26327.157002
19.763405,26329.581629
19.773758,26304.416663
19.780205,26296.835149
19.784877,26296.674988
19.788832,26295.309479
19.798381,26290.738873
19.803317,26290.738873
19.807233,26290.738873
19.812367,26290.738873
19.817881,26287.867641
19.822730,26287.867641
19.827643,26288.125069
19.832426,26287.268376
19.836585,26287.268376
19.841322,26287.268376
19.846712,26287.341311
19.852363,26287.335587
19.859110,26286.664642
19.864085,26286.664642
19.868584,26286.664642
19.871661,26286.680293
19.874780,26286.526460
19.880852,26286.543391
19.886119,26286.327406
19.893202,26286.187373
19.897248,26286.872050
19.900430,26286.924360
19.903626,26286.924360
19.907309,26286.924360
19.912683,26286.924360
19.916737,26286.924360
19.921929,26286.924360
19.941405,26286.924360
19.959566,26286.924360
19.977093,26286.924360
20.002495,26286.924360
20.032767,26286.924360
20.043086,26286.924360
20.079895,26288.231199
20.112169,26296.756475
20.171474,26303.698766
20.271108,26314.541647
20.332874,26313.469700
20.385576,26315.582885
20.460401,26320.424752
20.526277,26325.888666
20.623827,26319.357482
20.718851,26328.463457
20.921324,26336.795670
21.138078,26331.001839
21.375718,26336.838514
21.719912,26333.746991
22.017013,26340.773807
22.166358,26335.913405
22.208732,26317.892678
22.245413,26322.096967
22.266200,26318.203708
22.277097,26318.203708
22.285709,26305.533445
22.291507,26303.708693
22.296459,26298.377227
22.310379,26302.908455
22.315812,26302.637423
22.320514,26299.402693
22.324279,26295.522908
22.328071,26289.647714
22.333330,26288.599561
22.337342,26292.458169
22.342862,26276.637466
22.347283,26276.329038
22.350316,26276.329038
22.353490,26275.928619
22.357253,26274.042647
22.360343,26277.551415
22.363478,26278.158873
22.366514,26277.554540
22.369549,26277.554540
22.372811,26276.883989
22.375915,26276.883989
22.378971,26276.883989
22.382006,26276.883989
22.385096,26276.883989
22.388384,26276.243858
22.391449,26276.243858
22.394470,26276.243858
22.397465,26276.243858
22.400480,26276.243858
22.403775,26276.243858
22.406976,26276.243858
22.409979,26276.243858
22.414992,26276.243858
22.430302,26276.243858
22.448186,26276.243858
22.462163,26276.243858
22.477397,26276.204626
22.488453,26282.510070
22.516186,26282.510070
22.549021,26282.510070
22.570609,26282.510070
22.593660,26282.510070
22.624062,26282.510070
22.663043,26292.245488
22.717829,26300.300347
22.806655,26298.069039
22.870456,26306.680762
22.920480,26310.179122
23.036733,26326.093027
23.174545,26322.563393
23.369681,26332.894616
23.565282,26337.503924
23.952677,26354.308553
24.216012,26351.300713
24.412085,26341.386985
24.539983,26329.691745
24.595835,26335.097796
24.668826,26324.139907
24.686136,26326.465212
24.702549,26320.049401
24.714467,26320.852097
24.724172,26317.085724
24.732035,26312.465191
24.737596,26309.847431
24.741645,26309.847431
24.745786,26306.941894
24.749865,26300.226171
24.753465,26299.006621
24.756803,26299.006621
24.760299,26295.618814
24.763556,26295.519451
24.766804,26295.625152
24.770009,26296.060757
24.773253,26298.293322
24.776351,26297.967529
24.779414,26296.882747
24.782389,26296.882747
24.785476,26297.053902
24.788533,26296.846878
24.791645,26296.695152
24.794634,26295.971393
24.797714,26294.982106
24.800759,26295.537059
24.803793,26295.364546
24.806854,26295.294170
24.809896,26295.390122
24.813413,26295.390122
24.816552,26294.920708
24.819661,26294.920708
24.822621,26294.920708
24.825712,26294.920708
